latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-30.197,153.14,310.2,1,1,2017-05-01,0000,T,70,6.0NRT,289.8,9.4,D
-30.905,146.848,332.7,1.7,1.3,2017-05-01,0000,T,88,6.0NRT,289.5,61.4,D
-30.902,146.842,326.2,1.7,1.3,2017-05-01,0000,T,84,6.0NRT,290,43.3,D
-31.972,147.536,312,1.4,1.2,2017-05-01,0000,T,51,6.0NRT,293.5,14.1,D
-31.967,147.547,316,1.4,1.2,2017-05-01,0000,T,59,6.0NRT,291.1,20.5,D
-33.759,149.525,310.8,1.1,1,2017-05-01,0000,T,70,6.0NRT,286.8,13.1,D
-42.778,146.572,322,1.1,1,2017-05-01,0000,T,0,6.0NRT,279.8,24.8,D
-42.78,146.585,377.4,1.1,1,2017-05-01,0000,T,0,6.0NRT,285.6,162.7,D
-19.221,17.722,303.3,1.2,1.1,2017-05-01,0025,A,54,6.0NRT,285.1,10.1,N
-19.223,17.733,306.4,1.2,1.1,2017-05-01,0025,A,68,6.0NRT,285.9,12.8,N
-19.223,17.728,314.2,1.2,1.1,2017-05-01,0025,A,89,6.0NRT,285.6,19.7,N
12.422,23.844,306.6,1.1,1.1,2017-05-01,0015,A,69,6.0NRT,294.3,7.5,N
12.421,23.854,305.9,1.1,1.1,2017-05-01,0015,A,52,6.0NRT,294.5,7.2,N
12.391,23.796,306.1,1.1,1.1,2017-05-01,0015,A,67,6.0NRT,294.4,8,N
12.389,23.807,305.6,1.1,1.1,2017-05-01,0015,A,65,6.0NRT,294.2,7.3,N
12.387,23.817,310.1,1.1,1.1,2017-05-01,0015,A,79,6.0NRT,294.3,10.5,N
10.716,20.585,307.4,1,1,2017-05-01,0015,A,69,6.0NRT,296.8,6.1,N
10.715,20.594,309.8,1,1,2017-05-01,0015,A,77,6.0NRT,296.4,7.8,N
7.002,30.794,310.8,4.6,2,2017-05-01,0015,A,58,6.0NRT,285.8,95.9,N
7.003,30.787,311.4,4.6,2,2017-05-01,0015,A,50,6.0NRT,284.7,92.6,N
30.775,27.111,301.8,1,1,2017-05-01,0010,A,44,6.0NRT,286.4,6.5,N
0.21,15.213,307.1,1.4,1.2,2017-05-01,0020,A,70,6.0NRT,283.3,13.2,N
-4.204,16.878,304.1,1,1,2017-05-01,0020,A,58,6.0NRT,290.4,5.7,N
-4.205,16.887,315.9,1,1,2017-05-01,0020,A,92,6.0NRT,291.2,14.6,N
-5.677,12.274,300.1,1.8,1.3,2017-05-01,0020,A,13,6.0NRT,288.3,8.4,N
-6.071,11.362,307.5,2.1,1.4,2017-05-01,0020,A,55,6.0NRT,292.3,21.8,N
-6.322,11.285,308.6,2.1,1.4,2017-05-01,0020,A,61,6.0NRT,292.7,20.8,N
-6.353,11.154,310.6,2.2,1.4,2017-05-01,0020,A,71,6.0NRT,293.1,24.3,N
52.554,39.565,307.3,1.4,1.2,2017-05-01,0005,A,71,6.0NRT,282.7,17.5,N
52.55,39.585,311.2,1.4,1.2,2017-05-01,0005,A,82,6.0NRT,283.8,20.7,N
51.142,37.936,301,1.3,1.1,2017-05-01,0005,A,36,6.0NRT,281.9,10.8,N
