latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.13,143.894,315.8,1.8,1.3,2017-04-27,0020,T,62,6.0NRT,300.3,16.4,D
-18.133,143.911,321.4,1.8,1.3,2017-04-27,0020,T,75,6.0NRT,300.4,28.7,D
-23.816,149.062,328.6,1,1,2017-04-27,0020,T,84,6.0NRT,292.1,27.5,D
-24.671,151.605,303.2,1.3,1.1,2017-04-27,0020,T,43,6.0NRT,292.2,5.5,D
-25.717,150.236,312.1,1.2,1.1,2017-04-27,0020,T,69,6.0NRT,298.9,7.9,D
-25.718,150.247,331.4,1.2,1.1,2017-04-27,0020,T,86,6.0NRT,298.6,31.9,D
-26.234,149.508,326.2,1.1,1,2017-04-27,0020,T,83,6.0NRT,296.1,25.2,D
-26.236,149.518,305.3,1.1,1,2017-04-27,0020,T,49,6.0NRT,294.2,4.9,D
-26.2,149.109,308.1,1.1,1,2017-04-27,0020,T,63,6.0NRT,296.4,5,D
-26.66,151.798,312.1,1.4,1.2,2017-04-27,0020,T,72,6.0NRT,295.3,15.3,D
-26.662,151.813,311.7,1.4,1.2,2017-04-27,0020,T,72,6.0NRT,293.6,15,D
-26.96,150.016,325.3,1.2,1.1,2017-04-27,0020,T,83,6.0NRT,296.6,24.8,D
-26.962,150.027,324.2,1.2,1.1,2017-04-27,0020,T,82,6.0NRT,296,23.8,D
-27.043,149.497,308,1.1,1,2017-04-27,0020,T,61,6.0NRT,296.7,5.6,D
-27.044,149.508,308.4,1.1,1,2017-04-27,0020,T,62,6.0NRT,296.9,6.1,D
-31.009,148.827,306.8,1.1,1.1,2017-04-27,0025,T,64,6.0NRT,289.1,8.1,D
-31.04,146.675,305.2,1,1,2017-04-27,0025,T,61,6.0NRT,290.4,4.7,D
-31.948,147.527,320.7,1,1,2017-04-27,0025,T,80,6.0NRT,289,19.5,D
-31.95,147.538,302,1,1,2017-04-27,0025,T,50,6.0NRT,288.6,4.7,D
-31.824,145.625,309.2,1,1,2017-04-27,0025,T,68,6.0NRT,284,9.2,D
-31.825,145.636,309.2,1,1,2017-04-27,0025,T,68,6.0NRT,285.6,9.2,D
-33.761,149.519,302,1.3,1.1,2017-04-27,0025,T,40,6.0NRT,279.8,8.7,D
-34.41,149.911,302.5,1.4,1.2,2017-04-27,0025,T,52,6.0NRT,284.4,10.7,D
-34.119,147.16,303.1,1.1,1,2017-04-27,0025,T,55,6.0NRT,284.8,6.2,D
-33.672,141.624,303,1.3,1.1,2017-04-27,0025,T,54,6.0NRT,289,6,D
-34.35,145.782,305.7,1,1,2017-04-27,0025,T,57,6.0NRT,286.5,7,D
-34.359,145.781,307.3,1,1,2017-04-27,0025,T,65,6.0NRT,285.9,8.3,D
-34.836,146.225,310.8,1,1,2017-04-27,0025,T,71,6.0NRT,286.8,10.8,D
-34.838,146.236,313.9,1,1,2017-04-27,0025,T,74,6.0NRT,286.6,13.2,D
-41.199,147.056,343.1,1.2,1.1,2017-04-27,0025,T,93,6.0NRT,286.3,66.2,D
-41.198,147.05,331,1.2,1.1,2017-04-27,0025,T,87,6.0NRT,286.1,42.2,D
-41.2,147.065,323.3,1.2,1.1,2017-04-27,0025,T,82,6.0NRT,285.2,30.2,D
-41.647,147.351,307.4,1.3,1.1,2017-04-27,0025,T,65,6.0NRT,284,13.9,D
-17.858,-44.586,300.4,3.6,1.8,2017-04-27,0100,T,27,6.0NRT,280.2,29.6,N
-5.453,-36.792,303.6,1,1,2017-04-27,0100,T,43,6.0NRT,293.2,3.4,N
-3.586,-38.858,304.9,1,1,2017-04-27,0105,T,34,6.0NRT,293.6,3.8,N
19.402,-155.279,396.8,1.4,1.2,2017-04-27,0000,A,100,6.0NRT,302.1,364.5,D
19.4,-155.292,372.9,1.4,1.2,2017-04-27,0000,A,100,6.0NRT,304,182.6,D
12.143,23.68,303.8,3.1,1.7,2017-04-27,0040,A,57,6.0NRT,291.5,32.7,N
12.143,23.675,302,3.1,1.7,2017-04-27,0040,A,46,6.0NRT,291.3,27.2,N
8.58,12.621,311.9,1.1,1,2017-04-27,0040,A,84,6.0NRT,293.3,10.8,N
4.247,7.794,311.5,2,1.4,2017-04-27,0040,A,75,6.0NRT,291.4,21.1,N
4.244,7.788,306,2,1.4,2017-04-27,0040,A,40,6.0NRT,290.9,12.1,N
4.241,7.805,307.9,2,1.4,2017-04-27,0040,A,57,6.0NRT,291.9,14.8,N
3.583,7.394,310.9,2.1,1.4,2017-04-27,0040,A,73,6.0NRT,291.6,22.2,N
3.581,7.389,307,2.1,1.4,2017-04-27,0040,A,51,6.0NRT,291.5,14.5,N
3.578,7.407,305.9,2.1,1.4,2017-04-27,0040,A,39,6.0NRT,291.8,12,N
3.467,5.555,307.2,2.9,1.6,2017-04-27,0040,A,52,6.0NRT,288.9,27.1,N
3.461,5.576,305.4,2.9,1.6,2017-04-27,0040,A,30,6.0NRT,288.8,21.5,N
-0.747,8.759,303.7,1.4,1.2,2017-04-27,0045,A,57,6.0NRT,292.2,7.2,N
-1.524,9.953,303.6,1.2,1.1,2017-04-27,0045,A,56,6.0NRT,281.6,7.5,N
-4.922,11.383,312.6,1,1,2017-04-27,0045,A,79,6.0NRT,293,10,N
-5.282,11.389,305.3,1,1,2017-04-27,0045,A,27,6.0NRT,290.9,5,N
-5.673,11.926,320.2,1,1,2017-04-27,0045,A,100,6.0NRT,293,16.3,N
-5.675,11.935,314.9,1,1,2017-04-27,0045,A,87,6.0NRT,293.1,11.6,N
-6.07,11.362,311.6,1,1,2017-04-27,0045,A,75,6.0NRT,294,8.2,N
-6.315,11.281,308.3,1,1,2017-04-27,0045,A,60,6.0NRT,293.5,6,N
-6.318,11.051,306.3,1,1,2017-04-27,0045,A,44,6.0NRT,293.7,4.9,N
1.494,127.632,315.8,1.1,1,2017-04-27,0155,T,65,6.0NRT,295.4,9.4,D
-2.907,129.303,315.3,1,1,2017-04-27,0155,T,26,6.0NRT,294,8.2,D
-2.916,129.302,314.4,1,1,2017-04-27,0155,T,32,6.0NRT,292.2,7.7,D
-3.582,126.519,328.4,1.1,1,2017-04-27,0155,T,83,6.0NRT,300.1,21.9,D
-4.573,122.033,313.8,1.9,1.4,2017-04-27,0155,T,59,6.0NRT,295.2,14.4,D
-4.576,122.025,313.2,1.9,1.4,2017-04-27,0155,T,54,6.0NRT,295.6,11.8,D
-8.201,119.068,315.1,2.8,1.6,2017-04-27,0155,T,68,6.0NRT,295.5,42.5,D
-9.909,120.578,329.4,2,1.4,2017-04-27,0155,T,83,6.0NRT,299.7,58.8,D
-14.465,125.618,345.3,1,1,2017-04-27,0155,T,92,6.0NRT,304.6,40.2,D
-14.466,125.627,322.9,1,1,2017-04-27,0155,T,23,6.0NRT,303.6,7.7,D
-14.474,125.617,328.8,1,1,2017-04-27,0155,T,50,6.0NRT,305.8,13.5,D
-14.475,125.626,328.4,1,1,2017-04-27,0155,T,57,6.0NRT,305.1,12.9,D
-14.485,125.634,323,1,1,2017-04-27,0155,T,47,6.0NRT,304.6,7.7,D
-14.548,125.747,320.1,1,1,2017-04-27,0155,T,47,6.0NRT,303.5,6.3,D
-14.556,125.739,319.3,1,1,2017-04-27,0155,T,48,6.0NRT,303,7.2,D
-14.742,126.706,323.4,1,1,2017-04-27,0155,T,62,6.0NRT,301.8,11.5,D
-14.607,125.712,317.3,1,1,2017-04-27,0155,T,58,6.0NRT,302.1,5.5,D
-14.69,125.713,321.2,1,1,2017-04-27,0155,T,69,6.0NRT,302.7,9.3,D
-14.699,125.711,325.1,1,1,2017-04-27,0155,T,75,6.0NRT,302,12.7,D
-14.707,125.515,320.3,1,1,2017-04-27,0155,T,68,6.0NRT,302.4,8.7,D
-14.756,125.725,319.6,1,1,2017-04-27,0155,T,43,6.0NRT,301.9,7.5,D
-14.758,125.734,323.6,1,1,2017-04-27,0155,T,69,6.0NRT,300.7,11.5,D
-14.767,125.732,321.1,1,1,2017-04-27,0155,T,48,6.0NRT,302.4,9.1,D
-14.768,125.742,323.6,1,1,2017-04-27,0155,T,46,6.0NRT,302.2,11.4,D
-14.78,125.759,319.5,1,1,2017-04-27,0155,T,62,6.0NRT,301.9,8.3,D
-14.762,125.328,321.1,1,1,2017-04-27,0155,T,69,6.0NRT,302.2,9.5,D
-14.763,125.337,320.6,1,1,2017-04-27,0155,T,68,6.0NRT,301.6,9.2,D
-14.786,125.299,317.9,1,1,2017-04-27,0155,T,39,6.0NRT,301.3,5.8,D
-14.799,125.203,326.9,1,1,2017-04-27,0155,T,0,6.0NRT,301.5,11.9,D
-14.8,125.212,324.8,1,1,2017-04-27,0155,T,53,6.0NRT,302.8,9.5,D
-14.818,125.209,329.1,1,1,2017-04-27,0155,T,46,6.0NRT,303.3,12.3,D
-14.826,125.198,389.1,1,1,2017-04-27,0155,T,0,6.0NRT,306,179.3,D
-14.827,125.208,394.5,1,1,2017-04-27,0155,T,75,6.0NRT,308.4,207.4,D
-14.829,125.217,326.2,1,1,2017-04-27,0155,T,65,6.0NRT,303.2,10.1,D
-14.838,125.215,353.2,1,1,2017-04-27,0155,T,0,6.0NRT,303,56.5,D
-15.814,130.836,311,1.8,1.3,2017-04-27,0155,T,37,6.0NRT,292.9,14.8,D
-15.87,130.084,320.3,1.6,1.3,2017-04-27,0155,T,48,6.0NRT,301.9,18.4,D
-16.015,130.696,326.2,1.8,1.3,2017-04-27,0155,T,79,6.0NRT,299.7,38.2,D
-15.978,130.116,324.9,1.6,1.3,2017-04-27,0155,T,78,6.0NRT,301.3,29.9,D
-15.987,130.109,325.4,1.6,1.3,2017-04-27,0155,T,70,6.0NRT,301,29.8,D
-15.989,130.124,327.5,1.6,1.3,2017-04-27,0155,T,77,6.0NRT,301.5,36.6,D
-16.001,130.122,319.2,1.6,1.3,2017-04-27,0155,T,51,6.0NRT,300.2,20,D
-15.8,127.848,321.8,1.2,1.1,2017-04-27,0155,T,69,6.0NRT,303.2,10.8,D
-16.158,130.563,313.9,1.8,1.3,2017-04-27,0155,T,55,6.0NRT,296.1,10.8,D
-16.159,130.382,327,1.7,1.3,2017-04-27,0155,T,79,6.0NRT,289.7,42.4,D
-16.161,130.399,313.8,1.7,1.3,2017-04-27,0155,T,45,6.0NRT,291.9,14,D
-16.318,130.481,319.5,1.8,1.3,2017-04-27,0155,T,70,6.0NRT,297.9,22.7,D
-16.634,133.013,312.3,2.8,1.6,2017-04-27,0155,T,31,6.0NRT,297.1,19.3,D
-16.646,132.986,314.8,2.8,1.6,2017-04-27,0155,T,60,6.0NRT,297.4,29.7,D
35.027,136.87,323.8,1,1,2017-04-27,0145,T,0,6.0NRT,284.6,19.9,D
27.244,140.864,317.3,1.8,1.3,2017-04-27,0145,T,68,6.0NRT,290.6,32.1,D
27.24,140.882,359.6,1.9,1.3,2017-04-27,0145,T,99,6.0NRT,293.5,205.3,D
27.235,140.875,310.6,1.9,1.3,2017-04-27,0145,T,30,6.0NRT,290,17.6,D
17.01,122.413,310.5,3.9,1.8,2017-04-27,0150,T,30,6.0NRT,292.9,40.1,D
15.937,121.081,312.2,4.8,2,2017-04-27,0150,T,37,6.0NRT,291.8,65.4,D
-16.649,132.98,312.7,2.8,1.6,2017-04-27,0200,T,39,6.0NRT,297.2,24.6,D
-16.484,128.475,314.9,1.3,1.1,2017-04-27,0200,T,64,6.0NRT,274.6,15.4,D
-16.348,127.404,313.8,1.1,1.1,2017-04-27,0200,T,27,6.0NRT,290.7,5.6,D
-16.352,127.398,318.5,1.1,1.1,2017-04-27,0200,T,66,6.0NRT,293.1,11.2,D
-16.453,128.007,315.3,1.2,1.1,2017-04-27,0200,T,35,6.0NRT,293.3,9,D
-16.511,127.325,320.1,1.1,1.1,2017-04-27,0200,T,70,6.0NRT,285.8,14.2,D
-16.974,127.104,325.8,1.1,1.1,2017-04-27,0200,T,77,6.0NRT,291.4,20.4,D
-17.058,127.296,319.5,1.1,1.1,2017-04-27,0200,T,68,6.0NRT,296.5,11.9,D
-17.069,127.305,325.7,1.1,1.1,2017-04-27,0200,T,77,6.0NRT,296.5,18.9,D
-17.095,126.902,314.1,1.1,1,2017-04-27,0200,T,50,6.0NRT,297.1,5.8,D
-17.102,126.953,314.6,1.1,1,2017-04-27,0200,T,53,6.0NRT,296.8,5.7,D
-17.169,126.843,317,1.1,1,2017-04-27,0200,T,59,6.0NRT,299.6,7.4,D
-17.171,126.853,318.4,1.1,1,2017-04-27,0200,T,64,6.0NRT,299.2,9.2,D
-17.257,127.163,317.9,1.1,1.1,2017-04-27,0200,T,62,6.0NRT,295.6,10.3,D
-17.486,127,338.9,1.1,1.1,2017-04-27,0200,T,88,6.0NRT,296.3,38.4,D
-17.487,127.01,321.2,1.1,1.1,2017-04-27,0200,T,69,6.0NRT,294.9,11.9,D
-17.49,126.993,346.5,1.1,1.1,2017-04-27,0200,T,93,6.0NRT,295.2,53.1,D
-17.491,127.003,347.4,1.1,1.1,2017-04-27,0200,T,93,6.0NRT,296.7,56.2,D
-17.493,127.014,316.4,1.1,1.1,2017-04-27,0200,T,57,6.0NRT,294.3,7.7,D
-17.476,126.753,328.5,1.1,1,2017-04-27,0200,T,79,6.0NRT,297.4,20.1,D
-17.478,126.763,329,1.1,1,2017-04-27,0200,T,80,6.0NRT,298.6,21,D
-17.489,126.845,320.9,1.1,1,2017-04-27,0200,T,50,6.0NRT,298.8,10.6,D
-17.49,126.856,338.7,1.1,1,2017-04-27,0200,T,88,6.0NRT,300.1,37.2,D
-17.492,126.866,318.8,1.1,1,2017-04-27,0200,T,40,6.0NRT,297.7,8.1,D
-17.506,126.969,331.9,1.1,1.1,2017-04-27,0200,T,83,6.0NRT,295.8,26.8,D
-17.507,126.979,324.6,1.1,1.1,2017-04-27,0200,T,75,6.0NRT,294.8,16.6,D
-17.498,126.844,318.9,1.1,1,2017-04-27,0200,T,31,6.0NRT,297.5,8.2,D
